Data,Pergunta,Categoria
05/03/2026 20:34,posso lavar meu carro no condominio?,Barulho
05/03/2026 20:35,Posso fazer reforma no meu apto?,Obras
05/03/2026 20:47,"Meu vizinho do apto 203N está fazendo muito barulho, o que posso fazer?",Barulho
05/03/2026 20:49,Posso lavar meu carro no condominio?,Garagem
05/03/2026 21:05,"Meu carro foi riscado, tem cameras de vigilância para verifiar que fez essa maldade?",Garagem
05/03/2026 21:06,"Está ocorrendo uma briga dentro do condominio, quem devo acionar?",Barulho
05/03/2026 21:07,"Se eu não pagar o condominio, eu posso peder meu apto?",Garagem
05/03/2026 21:08,o que diz o artigo 37?,Transcrição
05/03/2026 21:18,qual a data de criação do regimento?,Transcrição
05/03/2026 21:21,Posso lavar meu carro no condominio?,Garagem
05/03/2026 21:24,"Quando estava saindo do condominio o portão fechou antes do tempo e amassou meu carro, o condominio tem que pagar pelo estrago?",Garagem
05/03/2026 21:28,Posso reservar o salão de festas no domingo?,Reservas
05/03/2026 21:29,Posso alugar a churrasqueira no domingo?,Reservas
05/03/2026 21:31,qual a regra mais punitiva do regimento?,Transcrição
05/03/2026 21:36,o que é proibido do condomoinio?,Barulho
05/03/2026 21:38,severino vc é um idiota,Cordialidade
05/03/2026 21:38,seu filho da puta,Transcrição
05/03/2026 22:27,Bom dia˜,Cordialidade
05/03/2026 22:27,"Hoje meu vizinho do apartamento acima estava fazendo muito barulho, como devo proceder?",Barulho
05/03/2026 22:29,"Hoje de manhã as 7 horas meu vizinho do apto de cima estava fazendo muito barulho, como devo proceder?",Barulho
05/03/2026 22:30,quais procedimentos eu preciso ter com meu cachorro? Posso ter mais de uma animal no meu apto?,Animais
